plate,well,location,coating,sample_strain,sample_id,OD
p4,d4,p4d4,FBS,LAC,atl_KO,0.2002999932
p4,d5,p4d5,FBS,LAC,agrA_C123F,0.7518000007
p4,d6,p4d6,FBS,LAC,wt,0.224999994
p4,d7,p4d7,FBS,empty,,0.1037999988
p4,d8,p4d8,FBS,Newman,agrA_KO,0.8682000041
p4,d9,p4d9,FBS,Newman,wt,0.353399992
p4,d10,p4d10,FBS,22251,wt,0.8313000202
p4,d11,p4d11,FBS,epi,wt,0.6229000092
p4,e2,p4e2,FBS,LAC,srtA_KO,0.3269000053
p4,e3,p4e3,FBS,LAC,icaA_KO,0.293900013
p4,e4,p4e4,FBS,LAC,atl_KO,0.2047999948
p4,e5,p4e5,FBS,LAC,agrA_C123F,0.9656000137
p4,e6,p4e6,FBS,LAC,wt,0.2388000041
p4,e7,p4e7,FBS,empty,,0.1014000028
p4,e8,p4e8,FBS,Newman,agrA_KO,0.9334999919
p4,e9,p4e9,FBS,Newman,wt,0.3458000124
p4,e10,p4e10,FBS,22251,wt,0.8844000101
p4,e11,p4e11,FBS,epi,wt,0.6516000032
p4,f2,p4f2,FBS,LAC,srtA_KO,0.28580001
p4,f3,p4f3,FBS,LAC,icaA_KO,0.3704000115
p4,f4,p4f4,FBS,LAC,atl_KO,0.201000005
p4,f5,p4f5,FBS,LAC,agrA_C123F,0.722299993
p4,f6,p4f6,FBS,LAC,wt,0.2146999985
p4,f7,p4f7,FBS,empty,,0.1193000004
p4,f8,p4f8,FBS,Newman,agrA_KO,0.8585000038
p4,f9,p4f9,FBS,Newman,wt,0.2671000063
p4,f10,p4f10,FBS,22251,wt,0.671299994
p4,f11,p4f11,FBS,epi,wt,0.5645999908
p4,g2,p4g2,FBS,LAC,srtA_KO,0.3005999923
p4,g3,p4g3,FBS,LAC,icaA_KO,0.385800004
p4,g4,p4g4,FBS,LAC,atl_KO,0.1888999939
p4,g5,p4g5,FBS,LAC,agrA_C123F,0.8835999966
p4,g6,p4g6,FBS,LAC,wt,0.2337000072
p4,g7,p4g7,FBS,empty,,0.1057000011
p4,g8,p4g8,FBS,Newman,agrA_KO,0.8360000253
p4,g9,p4g9,FBS,Newman,wt,0.3136999905
p4,g10,p4g10,FBS,22251,wt,0.7691000104
p4,g11,p4g11,FBS,epi,wt,0.5746999979
